Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
Pranjit Travels (Under ASTC),21:15,03:00,05h 45m,INR 500,"24 Seats available
1 Single",NON A/C Seater (2+1),3.8,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Pranjit Travels (Under ASTC),21:30,03:45,06h 15m,INR 600,"37 Seats available
12 Single",Bharat Benz A/C Seater (2+1),4.1,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Pranjit Travels (Under ASTC),21:45,03:00,05h 15m,INR 500,"30 Seats available
9 Single",NON A/C Seater (2+1),3.4,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
DESTINY TRAVELS,18:45,00:24,29h 39m,INR 481.45 457,34 Seats available,NON A/C Seater (2+1),N/A,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
BLUE HILL TRAVELS INDIA LIMITED,20:00,02:00,06h 00m,INR 550,"23 Seats available
11 Window",NON A/C Seater Semi Sleeper (2+1),1.9,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
NORTH EAST TRAVELS(UNDER ASTC),20:15,02:30,06h 15m,INR 500,"26 Seats available
16 Window",NON A/C Seater (2+1),2.2,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
NETWORK TRAVELS,18:30,07:00,12h 30m,INR 700 600,"13 Seats available
3 Single",NON A/C Seater (2+1),4.5,Guwahati to Haflong,https://www.redbus.in/bus-tickets/guwahati-to-haflong
Deep Travels,19:30,06:30,11h 00m,INR 650,"22 Seats available
12 Window",Non AC Seater (2+1),3.6,Guwahati to Haflong,https://www.redbus.in/bus-tickets/guwahati-to-haflong
BARBIE TRAVELS,11:10,15:30,04h 20m,INR 240,40 Seats available,NON A/C Hi-Tech Push Back (2+2),N/A,Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur
PANKAJ TRAVELS,12:30,17:10,04h 40m,INR 240,40 Seats available,NON A/C Hi-Tech Push Back (2+2),N/A,Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur
